frame;detected;matched;total_ms;detect_ms;match_ms
0;1000;0;181.406;181.406;0
1;1000;611;50.405;36.606;13.799
2;1000;600;33.689;24.412;9.277
3;1000;603;41.524;29.036;12.488
4;1000;594;43.718;28.824;14.894
5;1000;579;33.054;23.898;9.156
6;1000;591;47.184;25.207;21.977
7;1000;596;33.715;20.66;13.055
8;1000;583;52.663;37.842;14.821
9;1000;622;35.875;22.872;13.003
10;1000;605;64.167;50.293;13.874
11;1000;603;36.398;25.173;11.225
12;1000;608;24.094;15.541;8.553
13;1000;596;25.315;16.622;8.693
14;1000;604;28.306;19.273;9.033
15;1000;608;27.215;19.071;8.144
16;1000;582;39.156;30.135;9.021
17;1000;609;38.35;26.404;11.946
18;1000;634;31.292;23.035;8.257
19;1000;609;27.712;18.544;9.168
20;1000;605;26.868;17.239;9.629
21;1000;587;25.68;16.581;9.099
22;1000;592;52.245;33.722;18.523
23;1000;641;68.757;53.31;15.447
24;1000;614;70.291;38.71;31.581
25;1000;611;70.296;52.044;18.252
26;1000;602;67.185;50.142;17.043
27;1000;591;66.184;47.817;18.367
28;1000;592;52.063;34.77;17.293
29;1000;603;55.558;37.442;18.116
30;1000;580;57.323;41.07;16.253
31;1000;601;53.613;35.512;18.101
32;1000;595;50.426;32.722;17.704
33;1000;598;69.283;52.538;16.745
34;1000;578;65.637;49.242;16.395
35;1000;593;69.094;51.595;17.499
36;1000;605;77.493;50.061;27.432
37;1000;591;71.293;52.183;19.11
38;1000;597;66.225;48.446;17.779
39;1000;593;56.573;39.358;17.215
40;1000;622;68.693;51.485;17.208
41;1000;567;61.872;41.845;20.027
42;1000;525;85.02;54.41;30.61
43;1000;604;51.598;33.216;18.382
44;1000;573;72.99;55.545;17.445
45;1000;606;73.466;56.61;16.856
46;1000;611;63.841;48.552;15.289
47;1000;618;75.094;50.046;25.048
48;1000;595;65.249;48.137;17.112
49;1000;588;64.505;44.928;19.577
50;1000;571;47.85;31.798;16.052
51;1000;580;72.837;47.688;25.149
52;1000;589;65.008;47.637;17.371
53;1000;565;58.822;41.408;17.414
54;1000;585;66.872;49.504;17.368
55;1000;570;73.783;53.708;20.075
56;1000;585;64.689;48.208;16.481
57;1000;559;63.965;45.176;18.789
58;1000;597;63.799;44.205;19.594
59;1000;583;56.997;37.549;19.448
60;1000;596;68.367;51.194;17.173
61;1000;605;69.464;52.911;16.553
62;1000;573;65.542;50.485;15.057
63;1000;588;51.069;33.877;17.192
64;1000;566;52.17;34.12;18.05
65;1000;580;51.685;34.106;17.579
66;1000;590;54.383;37.978;16.405
67;1000;593;59.917;40.217;19.7
68;1000;565;56.482;36.585;19.897
69;1000;597;53.18;34.06;19.12
70;1000;600;68.155;50.656;17.499
71;1000;579;51.316;34.682;16.634
72;1000;579;67.875;48.861;19.014
73;1000;595;49.326;31.909;17.417
74;1000;587;68.207;50.677;17.53
75;1000;562;68.561;45.952;22.609
76;1000;529;70.69;49.597;21.093
77;1000;572;94.493;61.289;33.204
78;1000;573;58.189;42.051;16.138
79;1000;579;78.869;60.868;18.001
80;1000;558;64.978;48.146;16.832
81;1000;574;69.911;52.999;16.912
82;1000;573;50.388;33.446;16.942
83;1000;476;61.578;44.362;17.216
84;1000;565;64.911;48.796;16.115
85;1000;600;59.602;42.955;16.647
86;1000;594;63.17;42.317;20.853
87;1000;569;65.12;48.535;16.585
88;1000;577;57.945;38.994;18.951
89;1000;583;65.62;39.406;26.214
90;1000;554;61.192;45.624;15.568
91;1000;585;56.706;40.056;16.65
92;1000;572;68.536;51.963;16.573
93;1000;565;54.033;36.504;17.529
94;1000;563;58.412;41.823;16.589
95;1000;590;77.596;53.388;24.208
96;1000;593;70.465;49.175;21.29
97;1000;593;74.859;57.238;17.621
98;1000;571;64.363;47.681;16.682
99;1000;580;65.827;50.211;15.616
100;1000;546;50.211;33.885;16.326
101;1000;539;65.775;46.737;19.038
102;1000;594;69.017;51.033;17.984
103;1000;533;64.816;48.547;16.269
104;1000;570;58.998;41.958;17.04
105;1000;582;53.919;36.447;17.472
106;1000;563;76.285;48.739;27.546
107;1000;563;66.69;49.597;17.093
108;1000;572;51.853;33.765;18.088
109;1000;608;67.975;50.622;17.353
110;1000;589;54.205;35.53;18.675
111;1000;594;35.025;25.335;9.69
112;1000;604;31.308;21.105;10.203
113;1000;583;25.576;16.642;8.934
114;1000;585;23.725;16.014;7.711
115;1000;588;28.418;20.332;8.086
116;1000;584;28.776;19.569;9.207
117;1000;610;26.761;17.743;9.018
118;1000;575;29.562;20.619;8.943
119;1000;571;43.671;34.525;9.146
120;1000;588;27.182;18.036;9.146
121;1000;571;23.946;15.398;8.548
122;1000;581;38.827;30.039;8.788
123;1000;599;25.408;17.594;7.814
124;1000;541;33.182;23.872;9.31
125;1000;598;25.984;16.644;9.34
126;1000;610;34.422;25.579;8.843
127;1000;583;25.076;15.449;9.627
128;1000;601;28.899;17.068;11.831
129;1000;601;25.144;15.321;9.823
130;1000;611;24.438;15.671;8.767
131;1000;613;31.019;22.182;8.837
132;1000;597;29.809;19.408;10.401
133;1000;593;26.66;18.327;8.333
134;1000;587;24.649;16.249;8.4
135;1000;598;24.912;16.165;8.747
136;1000;590;26.709;17.594;9.115
137;1000;579;44.326;27.659;16.667
138;1000;589;26.035;16.868;9.167
139;1000;610;27.308;18.712;8.596
140;1000;593;29.542;20.915;8.627
141;1000;575;27.487;16.989;10.498
142;1000;622;34.082;22.835;11.247
143;1000;600;25.636;15.951;9.685
144;1000;625;34.751;25.319;9.432
145;1000;612;33.846;24.572;9.274
146;1000;622;40.635;30.117;10.518
147;1000;630;31.099;21.917;9.182
148;1000;608;28.829;17.758;11.071
149;1000;591;37.352;27.493;9.859
150;1000;646;25.191;16.277;8.914
151;1000;601;23.876;15.161;8.715
152;1000;615;39.5;29.323;10.177
153;1000;644;23.849;15.229;8.62
154;1000;652;35.097;26.595;8.502
155;1000;625;33.576;25.146;8.43
156;1000;604;25.453;17.357;8.096
157;1000;677;25.321;16.233;9.088
158;1000;648;23.673;15.434;8.239
159;1000;640;25.326;16.48;8.846
160;1000;665;26.393;17.729;8.664
161;1000;707;26.357;18.08;8.277
162;1000;679;25.983;16.742;9.241
163;1000;697;25.548;16.72;8.828
164;1000;670;25.939;16.677;9.262
165;1000;623;40.611;31.543;9.068
166;1000;689;29.582;20.036;9.546
167;1000;675;34.262;25;9.262
168;1000;683;37.486;29.388;8.098
169;1000;680;30.406;21.253;9.153
170;1000;669;25.278;15.965;9.313
171;1000;679;39.026;29.373;9.653
172;1000;647;27.947;18.088;9.859
173;1000;655;35.662;24.736;10.926
174;1000;657;44.306;33.158;11.148
175;1000;651;27.456;18.801;8.655
176;1000;643;27.441;18.92;8.521
177;1000;656;25.962;17.388;8.574
178;1000;657;35.768;27.047;8.721
179;1000;671;32.673;24.128;8.545
180;1000;660;33.821;24.366;9.455
181;1000;652;24.577;15.824;8.753
182;1000;629;32.13;23.402;8.728
183;1000;653;25.211;16.479;8.732
184;1000;630;35.988;26.312;9.676
185;1000;676;24.836;15.759;9.077
186;1000;672;24.328;15.508;8.82
187;1000;651;27.566;19.104;8.462
188;1000;630;27.584;18.931;8.653
189;1000;629;35.512;26.357;9.155
190;1000;640;25.204;16.299;8.905
191;1000;660;29.249;20.655;8.594
192;1000;642;33.917;24.056;9.861
193;1000;660;25.025;15.785;9.24
194;1000;658;27.776;19.016;8.76
195;1000;659;24.593;16.122;8.471
196;1000;643;32.508;23.993;8.515
197;1000;690;28.999;20.431;8.568
198;1000;708;31.045;23.057;7.988
199;1000;688;26.036;17.609;8.427
200;1000;702;31.912;24.04;7.872
201;1000;683;29.848;21.313;8.535
202;1000;680;27.243;18.511;8.732
203;1000;670;24.883;15.633;9.25
204;1000;674;29.936;18.023;11.913
205;1000;683;30.075;21.569;8.506
206;1000;681;29.648;21.686;7.962
207;1000;672;38.831;29.821;9.01
208;1000;666;28.931;20.502;8.429
209;1000;672;26.251;16.543;9.708
210;1000;693;27.503;19.088;8.415
211;1000;683;26.08;17.245;8.835
212;1000;707;28.587;20.16;8.427
213;1000;721;25.246;16.254;8.992
214;1000;663;24.779;16.222;8.557
215;1000;673;23.841;15.832;8.009
216;1000;698;36.365;28.126;8.239
217;1000;701;24.618;16.284;8.334
