Frame; Count points
0; 181
1; 183
2; 162
3; 176
4; 184
5; 173
6; 202
7; 194
8; 204
9; 182
10; 192
11; 182
12; 199
13; 221
14; 196
15; 216
16; 207
17; 165
18; 147
19; 141
20; 195
21; 169
22; 139
23; 190
24; 172
25; 162
26; 162
27; 142
28; 118
29; 148
30; 141
31; 35
32; 105
33; 94
34; 118
35; 109
36; 107
37; 95
38; 132
39; 116
40; 131
41; 108
42; 111
43; 102
44; 120
45; 115
46; 135
47; 143
48; 136
49; 147
50; 145
51; 169
52; 133
53; 131
54; 142
55; 150
56; 137
57; 141
58; 140
59; 149
60; 138
61; 156
62; 146
63; 126
64; 142
65; 154
66; 148
67; 189
68; 176
69; 182
70; 195
71; 192
72; 186
73; 195
74; 175
75; 146
76; 162
77; 159
78; 164
79; 186
80; 175
81; 177
82; 213
83; 193
84; 195
85; 176
86; 190
87; 163
88; 182
89; 190
90; 177
91; 217
92; 171
93; 207
94; 167
95; 157
96; 181
97; 204
98; 188
99; 167
100; 187
101; 222
102; 155
103; 136
104; 135
105; 137
106; 127
107; 134
108; 181
109; 200
110; 193
111; 190
112; 125
113; 154
114; 158
115; 136
116; 143
117; 147
118; 121
119; 137
120; 131
121; 135
122; 144
123; 116
124; 126
125; 115
126; 120
127; 114
128; 107
129; 134
130; 133
131; 99
132; 87
133; 88
134; 101
135; 98
136; 121
137; 106
138; 84
139; 149
140; 136
141; 160
142; 162
143; 153
144; 143
145; 155
146; 158
147; 165
148; 161
149; 137
150; 127
151; 148
152; 141
153; 147
154; 159
155; 156
156; 152
157; 147
158; 113
159; 134
160; 84
161; 85
162; 103
163; 118
164; 127
165; 117
166; 120
167; 102
168; 107
169; 104
170; 118
171; 142
172; 156
173; 103
174; 128
175; 123
176; 107
177; 158
178; 163
179; 159
180; 131
181; 147
182; 137
183; 122
184; 117
185; 118
186; 101
187; 108
188; 119
189; 105
190; 123
191; 134
192; 110
193; 120
194; 93
195; 117
196; 117
197; 97
198; 112
199; 104
200; 112
201; 103
202; 128
203; 110
204; 112
205; 113
206; 117
207; 102
208; 93
209; 96
210; 122
211; 95
212; 94
213; 107
214; 103
215; 93
216; 101
217; 140
218; 156
219; 110
220; 126
221; 115
222; 122
223; 111
224; 162
225; 168
226; 159
227; 180
228; 185
229; 180
230; 185
231; 178
232; 173
233; 195
234; 171
235; 201
236; 206
237; 196
238; 178
239; 191
240; 181
241; 154
242; 157
243; 161
244; 167
245; 161
246; 187
247; 185
248; 186
249; 173
250; 189
251; 197
252; 185
253; 168
254; 176
255; 181
256; 164
257; 145
258; 151
259; 172
260; 185
261; 183
262; 173
263; 190
264; 169
265; 129
266; 163
267; 162
268; 140
269; 175
270; 138
271; 152
272; 151
273; 175
274; 181
275; 199
276; 164
277; 155
278; 156
279; 167
280; 168
281; 175
282; 165
283; 208
284; 180
285; 158
286; 194
287; 186
288; 168
289; 167
290; 215
291; 158
292; 201
293; 134
294; 159
295; 198
296; 156
297; 168
298; 203
299; 189
300; 168
301; 142
302; 203
303; 220
304; 212
305; 221
306; 180
307; 191
308; 172
309; 167
310; 187
311; 201
312; 171
313; 211
314; 213
315; 155
316; 165
317; 212
318; 150
319; 185
320; 218
321; 170
322; 161
323; 243
324; 241
325; 256
326; 257
327; 228
328; 229
329; 244
330; 220
331; 221
332; 272
333; 237
334; 216
335; 265
336; 274
337; 270
338; 259
339; 248
340; 229
341; 233
342; 233
343; 205
344; 167
345; 234
346; 231
347; 203
348; 166
349; 215
350; 252
351; 243
352; 164
353; 171
354; 221
355; 203
356; 187
357; 203
